Code,Name,city,country
C8D2,Knox Airport,Llandovery,United States
Z4P7,Maxine Airport,Canberra,Australia
X4M6,Marsden Airport,Baltimore,Australia
T4C6,Cheyenne Airport,Hartford,United States
E8B7,Amy Airport,Inverbervie,Australia
Z5E3,Gabriel Airport,Carnoustie,United States
J7Y8,Ian Airport,Millport,United States
H3R9,Ila Airport,Bonnyrigg,Australia
F8L8,Philip Airport,Biloxi,United States
G2S2,Remedios Airport,Taunton,United Kingdom
N2M1,Jarrod Airport,Motherwell,United States
O4B6,Freya Airport,Georgia,United States
B3A6,Ora Airport,Adelaide,Australia
G2V3,Richard Airport,Bathurst,Australia
Q6G5,Wade Airport,Lochgilphead,Australia
G7X9,Mannix Airport,Launceston,United Kingdom
Z6P2,Kirby Airport,Thurso,Australia
V6V4,Clayton Airport,Nottingham,United States
E8E3,Brielle Airport,Flint,United States
F4N3,Iona Airport,Laurencekirk,United Kingdom
P2P7,Isabella Airport,Cawdor,United States
D8C9,Breanna Airport,Moe,United Kingdom
V2S5,Baker Airport,Port Lincoln,Australia
Y5A5,Lois Airport,Port Augusta,United States
U8T5,Brennan Airport,North Las Vegas,United States
J8J6,Rana Airport,Newtown,United Kingdom
A1N9,Lacy Airport,Darwin,Australia
N7C5,Kibo Airport,Orlando,Australia
Q8Z7,Shaeleigh Airport,Cockburn,Australia
B4G1,Devin Airport,Liverpool,Australia
P7A5,Marsden Airport,Olympia,United States
K5B3,August Airport,Thame,United Kingdom
S2K9,Ariana Airport,Bangor,United Kingdom
U2F4,Noelani Airport,Spokane,United Kingdom
H7B4,Wayne Airport,Darwin,Australia
K9J4,Simone Airport,South Perth,Australia
I6T1,Garth Airport,Bendigo,United Kingdom
F3N4,Ronan Airport,Aberystwyth,Australia
I4Z2,Jana Airport,South Burlington,United States
I9E6,Ariel Airport,Shrewsbury,Australia
K7T2,Hammett Airport,Dubbo,Australia
J1R5,Natalie Airport,Nairn,United States
K5U3,Aline Airport,Harlech,United Kingdom
N4T3,Hedy Airport,Warrnambool,United Kingdom
X2W8,Shea Airport,Belgrave,Australia
Q6Y6,Whoopi Airport,Belmont,Australia
O8F4,Desiree Airport,Balfour,United States
Z6T4,Buckminster Airport,Rock Springs,United States
Q9W3,Alana Airport,Mildura,Australia
D8E5,Brynne Airport,Port Pirie,Australia
E8P3,Owen Airport,Greenlaw,Australia
U5Y6,Ila Airport,Lakewood,Australia
M1K3,Jasper Airport,Chester,United Kingdom
F3L3,Blossom Airport,Gladstone,Australia
C2P4,Mariam Airport,Monmouth,Australia
C4E2,Brock Airport,Warwick,United States
R5Y6,Martin Airport,Cambridge,United States
H7I2,Jonah Airport,Denver,Australia
M4S2,Jerome Airport,Coalville,United States
F7B6,Shad Airport,Kenosha,United States
B1X2,Finn Airport,Grand Rapids,United States
P8X7,Lev Airport,Augusta,Australia
S3I7,Patrick Airport,Gresham,United Kingdom
O3T2,Gretchen Airport,Swindon,United States
H3D7,Savannah Airport,Ramsey,United Kingdom
K3A8,Kelly Airport,St. David's,United Kingdom
V2M6,Vladimir Airport,Gold Coast,United States
W2Y8,Madeson Airport,Perth,United States
H8B7,Damon Airport,Taunton,Australia
W2Y7,Luke Airport,Canberra,United Kingdom
W1L1,Abigail Airport,Saint Louis,United Kingdom
K7D4,Jackson Airport,Annapolis,United States
O1N1,Vernon Airport,Canberra,United States
U7K7,Jameson Airport,Charters Towers,Australia
D2N9,Maris Airport,Launceston,United States
B4O3,Maxwell Airport,Lakewood,United States
B7C6,Walter Airport,Darwin,United States
H5L3,Levi Airport,Wick,United States
K2P4,Todd Airport,Palmerston,United States
F8Q5,Justina Airport,Belgrave,United Kingdom
C1B7,Stuart Airport,Whyalla,United Kingdom
F2J3,Abigail Airport,Cambridge,Australia
H3X2,Burke Airport,Canberra,United States
D9N9,Kibo Airport,Barry,United Kingdom
H5L1,Griffin Airport,Barrhead,United States
W4E4,Chelsea Airport,Horsham,United States
R6Y8,Briar Airport,Belmont,United States
V2C6,Sopoline Airport,Austin,United Kingdom
Y8O2,Kirsten Airport,Helena,United States
D8L8,Orson Airport,Boise,Australia
Y8Y5,Gavin Airport,Lithgow,United States
I4J4,Eric Airport,Mesa,United States
N8E1,Colorado Airport,Tampa,United Kingdom
G7G4,Marvin Airport,Canberra,United Kingdom
O4Q4,Molly Airport,Biloxi,Australia
D7M3,Stone Airport,Newcastle,United States
E3S8,Amelia Airport,Chippenham,United Kingdom
P3J7,Joelle Airport,Canberra,Australia
F4R3,Hamish Airport,Hartford,United Kingdom
M3L6,Rajah Airport,Machynlleth,United Kingdom
